,riffle.total,riffle.percentage,margin.total,margin.percentage
Oligochaetes (True worms),15,3.0,12,7.7
Glossiphoniidae,0,0.0,0,0.0
Planarians (flatworms),5,1.0,0,0.0
Crenobia alpina,0,0.0,0,0.0
Crustacea:,0,0.0,0,0.0
Gammarus,63,12.7,14,9.0
"Plecoptera: (Stoneflies, 2 'cerci'",0,0.0,0,0.0
"Leuctridae (long-thin, brown)",49,9.8,31,20.0
Perlodidae (mottled yellow/green),2,0.4,0,0.0
Ephemeroptera (3 'cerci'),0,0.0,0,0.0
Baetidae (torpedo sahped),127,25.5,25,16.1
Heptagenidae (flattened 'F1' design),91,18.3,26,16.8
Siphlonuridae (torpedo shape - spines on abdomen),11,2.2,1,0.6
"Ephemerellidae (feather-gills, 'zebra' pattern)",61,12.2,10,6.5
"Caenidae (small, enlarged first gill)",1,0.2,0,0.0
Leptophlebidae (fork-shaped gills),0,0.0,0,0.0
Trichoptera:,0,0.0,0,0.0
"Hydropsychidae (caseless, brown, gills on underside)",3,0.6,0,0.0
"Rhyacophilidae (caseless, green, gills on side)",9,1.8,0,0.0
"Polycentropodidae (caseless, pinkish, no gills)",0,0.0,1,0.6
"Lepidostomatidae (cased, regular leaf fragments)",1,0.2,0,0.0
Limnephilidae (cased; irregular stone grains or 'sticks'),11,2.2,2,1.3
"Goeridae (cased, 1 or 2 large stones at margins of case)",7,1.4,4,2.6
"Sericostomatidae (cased, very regular sand grains)",8,1.6,1,0.6
Psychomyidae,0,0.0,0,0.0
Philopotamidae,2,0.4,0,0.0
Odontoceridae (cased; larvae with 'anchor' shape on forehead,6,1.2,6,3.9
Diptera,0,0.0,0,0.0
Chironomidae ('worm' like but with head capsule; some red),0,0.0,8,5.2
Tipulidae ,0,0.0,0,0.0
lumbricidae,0,0.0,0,0.0
Ceratopogonidae,0,0.0,0,0.0
Simuliidae,0,0.0,0,0.0
Coleoptera,0,0.0,0,0.0
"Dytiscidae (small, swimming beetles - many in margins)",3,0.6,3,1.9
Elminthidae (small black beetles),8,1.6,7,4.5
Helodidae (flattened slightly traingular larvae; brown),0,0.0,0,0.0
Elminthidae larvae,15,3.0,4,2.6
Hydracarina (Water mites),0,0.0,0,0.0
Bullhead larvae,0,0.0,0,0.0
Total,498,,155,
