site,sample,temp,platambus,hydrophorus,oligochaeta,elmidae larvae,gamaris,caenis,beatis,heptageniidae,serettella,leuctra,halesus,potamophylax
upstream,1,20.65,1,0,4,0,0,0,24,0,0,1,0,0
upstream,2,20.65,1,0,1,0,0,0,6,1,0,0,0,0
upstream,3,20.65,0,0,5,0,0,2,38,1,0,0,0,0
trib,1,12.45,5,6,1,0,0,0,46,2,2,1,0,0
trib,2,12.45,1,1,1,0,0,0,21,0,3,0,0,0
trib,3,12.45,0,0,2,0,0,0,29,0,1,1,0,0
meadow,1,14.05,3,0,0,1,6,0,132,13,12,20,1,2
meadow,2,14.05,5,0,0,2,15,0,126,2,19,34,0,0
meadow,3,14.05,8,0,2,0,7,0,79,20,5,40,0,1
bridge,1,16,1,0,1,1,3,0,29,4,3,5,0,1
bridge,2,16,2,0,3,2,3,2,41,9,0,2,0,0
bridge,3,16,0,0,1,0,7,1,26,3,1,4,2,1
